shop_id,shop_name,avg_stars,avg_price,address,telephone,all_comments_count,5_star_comments_count,4_star_comments_count,3_star_comments_count,2_star_comments_count,1_star_comments_count
"4657406
",宴稼厨房(方恒店),5.0,107,阜通东大街6号院4号楼 方恒购物中心4层(奔驰大厦、望京soho、卡特彼勒、京密路大山子路口),010-84783466,2407,1406,702,219,36,44
"20709170
",望京小腰(旗舰店),3.5,76,望京阜通东大街金兴路6号(西门子大厦往东北方向300米，国际邮件物流中心斜对面),010-89940831,1787,693,541,299,92,162
"22999239
",水木锦堂铁板烧自助餐厅(望京凯德MALL店),5.0,192,广顺北大街33号院望京凯德MALL07-02,010-64749986,5354,4594,551,128,34,47
"52918471
",尊膳私厨,5.0,95,崔各庄乡草场地村333号(五元桥机场辅路),010-84561888,224,194,24,5,0,1
"512505
",银滩金汤酒楼(望馨店),5.0,174,利泽西园209号 望馨商业中心5层,010-64704958,1029,592,163,27,8,17
"32672984
",無二炙坊炭火燒肉(望京店),4.5,127,望京阜通西大街望京新荟城4层(靠近渝香人家，时光里春饼，刺麻),010-57839821,228,149,43,16,7,13
"67586366
",大龙燚火锅(798艺术区店),4.0,116,酒仙桥路13号地下一层,010-85926518,32,25,0,3,0,4
"21128411
",纯然火锅(望京总店),5.0,81,望京西路首开知语城北区312楼纯然火锅(望京西路上的九十四中学并排往南 望京桥方向，在天然气望京服务中心 歌华有线中间店铺),010-64300039,772,491,177,65,15,24
"4094560
",暹罗泰食馆(望京新世界店),5.0,153,广顺南大街16号院 望京新世界利莹百货1层(近阜通东大街),010-84764747,3138,1826,943,277,49,43
"24009322
",左麻右辣鲜牛肉火锅(望京店),4.5,93,望京湖光中街银领国际南门底商,010-64791288,515,314,143,38,11,9
"4135153
",汉堡王(北京华彩望京店),4.5,33,广顺北大街16号院望京华彩商业中心1楼A101商铺(丽泽中街西口),010-59780430,1815,911,555,269,45,35
"23919667
",重庆记忆老灶火锅(望京店),4.5,107,望京东路望京商业中心E座一层,010-59035220,1076,692,252,75,17,40
"15108028
",汉堡王(北京合生麒麟社店),4.5,32,望京阜安西路11号楼CF101、CF102、CF103,010-57389074,796,507,194,61,17,17
"67465268
",Yellow Cab 黄的士披萨(望京店),4.5,62,望京街9号望京商业中心A座A1-10号,010-59035636,126,79,31,11,2,3
"58981564
",阿荣小镇火锅(望京国际商业中心店),5.0,93,望京街道望京国际商业中心C座4层(麦当劳旁),010-57185888,228,185,36,2,2,3
"22208894
",小吊梨汤(四元桥家乐福店),5.0,77,宜居南路2号楼四元桥家乐福三层(宜家家居北四环店),010-64771909,4310,3063,983,206,20,38
"57303399
",吃山,5.0,63,阜安路望京东园一区120号新荟城购物中心二楼,010-57839410,1369,1017,275,60,8,9
"22928721
",火火猪蹄(2号店),5.0,91,博泰国际商业广场3层(湖光北街与广顺南大街交叉路口),010-64733288,828,549,207,49,10,13
"2055079
",本家韩国料理(望京店),5.0,114,望京广泽路CLASS13号S7,010-84730101,3139,1905,792,215,45,57
"5742062
",安妮意大利餐厅(望京店),5.0,95,望京街8号利星行广场A座戴姆勒大厦裙楼2楼(近望京商业中心),010-84760398,1494,1014,362,90,14,14
